#TradeID,PortfolioID,ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,AmountCurrency,Amount,AmountUSD,IMModel,TradeType,end_date
ComFwd_WTI_QuantoEUR_Long2024,no_csa,Other,PV,,,,,EUR,-189070.40,-189070.40,,CommodityForward,
ComFwd_WTI_QuantoEUR_Long2024,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
EqAmer_SP5_Weekly,no_csa,Other,PV,,,,,USD,589241.17,589241.17,,EquityAmericanVanillaCG,
EqAmer_SP5_Weekly,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqAsianBasket_Domestic,no_csa,Other,PV,,,,,EUR,3163826.53,3163826.53,,AsianBasketOption,
EqAsianBasket_Domestic,no_csa,Other,PV,,,0.000000,0.000000,EUR,5000.00,5000.00,Schedule,SA-CCR,0.000000
EqAsianBasket_Quanto,no_csa,Other,PV,,,,,EUR,1988789.12,1988789.12,,AsianBasketOption,
EqAsianBasket_Quanto,no_csa,Other,PV,,,0.000000,0.000000,EUR,5000.00,5000.00,Schedule,SA-CCR,0.000000
EqBarrier_UO_SP5,no_csa,Other,PV,,,,,USD,26921.06,26921.06,,EquityBarrierOptionCG,
EqBarrier_UO_SP5,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqBerm_SP5_Monthly,no_csa,Other,PV,,,,,USD,0.00,0.00,,EquityBermudanVanillaCG,
EqBerm_SP5_Monthly,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqCall_SP5,no_csa,Other,PV,,,,,USD,4917165.78,4917165.78,,EquityOption,
EqCall_SP5,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqDigital_SP5,no_csa,Other,PV,,,,,USD,18450.74,18450.74,,EquityDigitalCG,
EqDigital_SP5,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqFwd_HSCEI,no_csa,Other,PV,,,,,HKD,36599535.94,36599535.94,,EquityForward,
EqFwd_HSCEI,no_csa,Other,PV,,,0.000000,0.000000,HKD,0.00,0.00,Schedule,SA-CCR,0.000000
EqFwd_SP5,no_csa,Other,PV,,,,,USD,569885.45,569885.45,,EquityForward,
EqFwd_SP5,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqFwd_SPX,no_csa,Other,PV,,,,,USD,-403891.46,-403891.46,,EquityForward,
EqFwd_SPX,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
EqFwd_SX5E,no_csa,Other,PV,,,,,EUR,521016.10,521016.10,,EquityForward,
EqFwd_SX5E,no_csa,Other,PV,,,0.000000,0.000000,EUR,0.00,0.00,Schedule,SA-CCR,0.000000
EqPut_SP5,no_csa,Other,PV,,,,,USD,-2893717.70,-2893717.70,,EquityOption,
EqPut_SP5,no_csa,Other,PV,,,0.000000,0.000000,USD,0.00,0.00,Schedule,SA-CCR,0.000000
